Full Name,Pos,Team,ETA,Rank,FV,Risk,Age,HIT,BAT,PWR,SPD,Report
Max Muncy,SS,ATH,2025,,40+,High,22.6,40,40,45,50,"Muncy was limited to 233 plate appearances in 2024 due to a back injury, and he finished with a 24.6% strikeout rate at Triple-A Las Vegas while posting a .866 OPS. Below-average rates of contact will probably always be part of his game, and ultimately will be what funnels Muncy into a utility infield role. Breaking ball chase is the main culprit here, though importantly, Muncy has enough power to keep his overall offense afloat. An important 2024 development: Muncy finally got experience at the second base. He appears more comfortable and well-suited for the keystone than third base. He turns the double play well on both ends, and projects to be an average defender at shortstop and an above-average defender at second base. Muncy’s ability to be a sound defender up-the-middle is the carrying trait of his profile. His isn't devoid of offensive ability, but it will be important for him to learn to control the zone better over time. Muncy has a good chance to debut toward the end of 2025."
Denzer Guzman,SS,LAA,2026,,40+,Med,21.1,30,30,40,60,"Guzman was the Angels' top 2021 international amateur signee at just shy of $2 million. He has yet to have an impressive statistical full-season performance, with a mid-80s wRC+ at Low- and Double-A each of the last two years. He's another of the Angels' prospects who almost completely skipped over their High-A affiliate in southeast Washington. Guzman is only 20, putting his .206/.297/.304 line at Double-A Rocket City (west of Huntsville, Alabama) in a more forgiving light. To the eye, he still looks like a good defensive shortstop with a shot to develop above-average raw power at peak.
Guzman's tools are like Diet Willy Adames. He has cleaned up some of the odd looking aspects of his defensive actions (which were once strange and stiff when he had to make plays in on the grass), and he's really great at backhanding balls in the hole and making strong throws back across his body. Guzman is also an impressive in-the-box rotator and swings pretty hard for a 20-year-old, but his cut is quite long and grooved. Guzman has had concerningly high strikeout rates in the minors and lacks any kind of barrel feel, and he probably won't get to all his raw power in games because of this. This is the biggest hurdle for Guzman to clear if he's going to develop into an everyday shortstop. He's more likely to be a utility infielder who runs into a dozen annual bombs."
Justin Crawford,CF,PHI,2027,,40+,High,21.2,50,40,30,70,"Crawford has exciting physical ability, he's a great surface-level performer who owns a career .316/.371/.442 line, and he reached and had success at Double-A during the final two months of the 2024 season. His underlying contact and power metrics are also excellent for Crawford's age (a 87% in-zone contact and a 42% hard-hit rate, for instance). Why then is he merely a 40+ FV prospect, essentially the grade of a premium fifth outfielder? I don't trust that Crawford's swing will translate to big league success as it is currently constituted. His lever length, the height and depth where his hands load, and Crawford's bat path all cause him to be late to the contact point an overwhelming majority of the time. He peppers the left field line with low-lying contact and is really only capable of pulling slower breaking balls that finish middle-in. Crawford's groundball rate was 70% in 2023 and 61% in 2024. This century, there are only a handful of players with 900 career PA or more who hit the ball on the ground that often. Several of them were good big leaguers — Marlins great Luis Castillo was the best among them, while guys like Ben Revere and Nori Aoki were solid regulars during their peaks — but each of them was also an elite contact hitter with K rates hovering around 10%, and this is where they differ from Crawford. Not only will Crawford's ability to slug against big league stuff (and defenses) be limited by his swing's tendency to drive the ball into the ground, but he may have serious issues against high fastballs that simply haven't been exposed yet by mid-minors velocity. Crawford also isn't an especially skilled center fielder; his reads and routes aren't great. His speed should allow him to be okay there in time, but it isn't a value-adding aspect of his profile. 
I don't want this blurb to be an onslaught of negativity. Crawford won the Paul Owens Award last year, he has unbelievable lower body athleticism that you can see in his best swings, and his speed is exciting, as is his power, especially given his age and long-term physical projection. I'm just skeptical any of that power will actualize if this is still his swing when the cement dries. I can also see how it might be hard for Crawford and the Phillies to change things proactively when the player has had nothing but success. If additional strength arrives in Crawford's mid-20s, and enables him to shorten up and be on time to pull the baseball more, then Crawford has the underlying strength and bat control combo to immediately break out; that's what the ""+"" in 40+ is there for. Until then, there are things about Crawford's profile that give me pause or feel suspect, both visually and statistically. He reads as the sort of player who has a comfortably sub-.100 ISO even though he hits the ball pretty hard, a speedy nine-hole hitter type without impact defense."
Theo Gillen,CF,TBR,2028,,45+,Med,19.5,60,60,50,55,"When Gillen first burst onto the prospect scene, he was a skinny shortstop with a great looking lefty swing. He dealt with injuries of varying severity throughout high school, the most significant of which required labrum surgery. In addition to their toll on Gillen, the injuries made it difficult to evaluate him, as even when he was healthy, he sometimes looked rusty. Now he's getting stronger, and looks more comfortable in the box the further away he gets from his injuries. He is one of the few players in last year's draft class who could hit, hit for power, and also projects to play an up-the-middle position. 
Gillen has quick and slick hitting hands. His swing looked long during his pre-draft summer, but he's meaningfully stronger now and is getting back to the ball quicker. He rotates hard while keeping his head on the baseball and makes a ton of sweet spot contact. A scout source told Eric they thought Gillen had a chance to be a left-handed Marcus Semien — that's what Gillen's hitting hands are like. It's also the path Gillen's body and defensive fit could follow as he fills out. While Gillen's lateral agility and arm strength probably aren't a fit at shortstop (his high school position), his middle infield experience and speed give him a good shot to play second base or maybe try center field. We think the former is more likely. Especially if he continues to get stronger, his hit/power combo will profile in an everyday capacity at either spot."
Tommy Troy,SS,ARI,2027,,45,Med,23.2,35,30,45,80,"Troy was exposed by pro-quality breaking balls during a rough 2024 at High-A Hillsboro, where he hit .227/.319/.347 and missed time with a hamstring injury. Though Troy posted a stellar Arizona Fall League statline, he still looked allergic to spin there. He now has a utilityman projection here because it looks unlikely that he's going to hit enough to be an everyday player. Troy can really swing hard and rotates with more explosion than is typical for hitters his size. His scissor-kick swing is geared for banging high fastballs to the opposite field gap but, especially against breaking balls, he isn't on plane with the pitch for very long. Per Synergy, Troy missed 47% of the sliders he swung at in 2024 (reminder: this was at High-A), which is a gigantic spike from his 31% rate at Stanford. For context, Mason Miller's slider had a 48% miss rate in 2024. Troy can crush a fastball, but if he is essentially turning opposing sliders into elite pitches, then big league hurlers aren't going to let him see heaters. Troy now has a pretty extreme power-over-hit offensive profile. His speed is going to add a relevant element to what he brings to a lineup, but his issues with breaking balls are going to make him a streaky hitter at the very least, and on the whole probably it probably won't be enough for him to be an everyday player. 
If there's good news here, it's that Troy has been improving at shortstop. Though he played all over the place at Stanford and looked like he had settled in at third base in his draft year, the Diamondbacks have mostly deployed Troy at short. He's very tightly wound, a much more explosive athlete than an elegant and fluid one, and in the past he struggled with some of the tougher, off-platform throws that big league teams expect their shortstops to make, though he has improved in this regard. He began playing more second base in 2024, especially in the AFL, and based on Troy's look at third base in college, it's reasonable to expect he'll also be able to play there. Troy's speed also gives him a shot to play center field if the D-backs want to give that a try; he played some corner outfield in college but never center. Unless Troy's contact ability miraculously improves in 2025, he isn't on the fast track to the big leagues. He and Arizona have all of 2025 and 2026 to flesh out his fits on defense so that he can compete for a superutility role on the big league roster in 2027."
JR Ritchie,SP,ATL,2026,,45,High,21.8,,,,,"A classic high school pitcher draft prospect, Ritchie had a projectable 6-foot-2 frame, a fast, whippy arm action and a snappy, devastating breaking ball as a Pacific Northwest prepster in 2022. His gorgeous arm action portended changeup development, and his feel for spin allowed you to project that Ritchie would develop a second good breaking ball over time. It took $2.4 million to keep him from a commitment to UCLA, and Ritchie sadly blew out after just four 2023 starts. He returned in June 2024 and ended up throwing 49.2 innings across 11 combined starts between his rehab on the complex, age-appropriate Low-A starts, and two High-A outings to cap the year. 
Ritchie didn't come out of his rehab having taken a meaningful physical step; he's still a slender fella who sits 91-93 and requires rather violent, high-effort arm speed to generate it. Ritchie would show you 94-96 in short bursts as an amateur, but he's been more in the low-90s since his senior spring of high school, and now he's approaching age 22. What did take a step forward coming out of his TJ rehab was Ritchie's changeup, which now has a one-seam sinker look out of hand. Even with below-average velocity, there's enough other stuff happening here for Ritchie to continue to project as a starter, though his FV is shaded down a tier from last cycle because he didn't have a velo spike coming out of rehab. That might still happen for him, but as we're sitting here, Ritchie has mostly averaged 92 since the spring of 2022, and I think at this point it's incumbent upon him to actually throw harder rather than wishcasting more velocity for him. He still has the look of a good team's no. 4/5 starter thanks to his quality secondary pitches."
Sterlin Thompson,LF,COL,2026,,45,Low,23.8,50,55,50,40,"Thompson is a left-handed Miguel Vargas of sorts, a bat-only prospect without superlative physicality. Built in the Daniel Murphy and Nolan Schanuel mold, Thompson isn't an especially mobile athlete, and he has trended down the defensive spectrum during the last few years from 2B/3B to 1B/LF, where he isn't particularly sound. Thompson has great hands in the batter's box, his pretty swing generates airborne contact from pole to pole, and he does not miss mistakes. He's going to actualize the power he has, but it will only be fair pop unless something about his physicality changes drastically in his mid-20s. Now a career .270/.345/.430 hitter in the minors, Thompson has a roughly average contact and power combination undercut a bit by a lack of plate discipline. It's enough to consider him a high-probability platoon piece, but not enough to consider him a foundational everyday player at the positions he's capable of playing."
Jace Jung,3B,DET,2025,,45,Med,24.5,40,40,55,30,"Over 30 years after Mickey Tettleton played his last game for the Tigers, they've finally addressed their lack of a power-over-hit type who tilts his barrel toward the backstop and offers above-average left-handed thump. Jung made his major league debut last August, two years after a dominant run at Texas Tech made him a top-15 overall pick – and five years after his older brother Josh did the same. Jung’s big league arrival came in spite of a June wrist injury that eventually required offseason surgery, and while he posted his typical walks-and-pop shaped batting line at Triple-A (.257/.377/.454), he underperformed against same-handed velocity and saw his power production ebb after hitting 28 homers in 2023.
Jung’s unique setup and steeply vertical bat angle betray his choice of launch over contact, and his uppercut whip of a swing reinforces those expectations, producing plus exit velocities and fly ball rates in the 40s throughout his time in the minors. The majority of Jung’s hard contact comes on pitches middle-away, but he can turn-and-burn on inner half heaters regularly enough to remain a threat across the zone. While Jung’s power didn't show up in his first 94 plate appearances in Detroit and he struck out at a 30.9% clip, a peek under the hood reveals that he makes a below-average but not cripplingly low amounts of in-zone contact, and he rarely expands the width of the strike zone while running deep counts.
While Jung doesn't have the height of the prototypical corner masher, he certainly moves like one. A shift to third base last season helped hide his well-below-average foot speed, but he'll make less use of Comerica’s Park ample foul territory than others might. Rather than flash much lateral range, Jung’s best plays see him charging in, as he typically takes several steps toward first to make his below-average arm strength play across the diamond. There’s enough power, patience, and serviceable glovework here for Jung to be the bat-first strong side of a third base platoon right now, but his bid to be an everyday regular might not survive if he slides any further down the defensive spectrum."
Eriandys Ramon,3B,CHC,2027,,40+,High,22.2,50,55,45,40,"Ramon signed in June of 2023, when he was 20 years old, and began 2024 on the complex, where he (and Yahil Melendez) were the tallest, most projectable young hitters on the Sloan Park backfields. Though not especially explosive, Ramon has a terrific skills foundation and a broad-shouldered build that might allow him to add significant strength as he matures. This guys checks an awful lot of boxes we care about. He's a switch-hitter who has demonstrated feel for contact, he has overt physical projection that might lead to more power, and he's a good defensive player. Ramon is a very graceful and athletic shortstop, especially for a 6-foot-3 guy, and if it weren't for his lack of speed, he'd comfortably project to stay there. For now, he's projected as a plus third base defender. 
Ramon's swing is already short to the ball for a young, physically green guy his size. He's on time to pull as both a left- and right-handed hitter, and his lefty swing has natural loft. If Ramon shows up to 2025 camp having gotten meaningfully stronger during the offseason, he could blow up. If there's a volatile aspect of his profile that threatens to undermine his ascent, it's his plate discipline. Though he's behind the developmental curve as he approaches his 22nd birthday, Ramon only has a year-and-a-half of pro ball under his belt, and his frame and (hopefully) his feel for the zone will both improve via strength training and reps. We're excited enough about his feel to hit, defense, and long-term physical projection to put Ramon in this higher-upside FV tier."
Rayner Arias,RF,SFG,2029,,40+,High,18.9,40,30,55,50,"Mere months after signing, Arias looked great during 2023 spring training against pitchers much older and more advanced than him. Then he went back to the D.R. and after a dominant first few weeks in the DSL, he broke his left wrist while diving for a ball in the outfield and his season was over. Arias again looked fantastic during 2024 minor league spring training and during the early portion of extended, but he again dove for a ball in the outfield, got up in pain, and slammed his glove to the turf in frustration. He had injured his wrist again, a sprain this time, and was out until mid-June. Arias played for roughly six weeks before the end of the complex schedule and has only played 41 career regular season games in two pro seasons. His ""healthy"" window in Arizona wasn't great; Arias slashed .250/.371/.364 with a 25.7% strikeout rate at the Giants' windy Papago Park bandbox, running a sub-70% contact rate, and his swing often looked long and grooved. We won't truly know whether these issues were due to the lingering effects of multiple wrist injuries or are a reflection of Arias' actual ability as a hitter until he generates a relevant data sample in 2025. 
I'm comfortable leaning heavily on my priors here, which include very exciting in-person looks and much better measureable contact and power data in 2023, before Arias first got hurt. But again, both the good pre-injury data and bad post-injury sample are too small to really care about. Still, I'm inclined to leave room for a big bounce back in 2025. Arias is still a big-framed outfield prospect with really exciting long-term strength projection. He could have special power at peak and be a Tyler O'Neill type of hitter even if his strikeout issues persist. It's frustrating that Arias' career has yet to truly get off the ground and it will be a problem for his prospect standing if he looks healthy in 2025 but still runs a 68% contact rate, but I still value his upside enough to grade him like a second round high school prospect."
Tommy White,3B,ATH,2026,,40+,Med,22.1,40,50,55,40,"A barrel-chested college baseball cult hero with plus bat speed, White was among the highest-profile transfers of the last few years, heading from NC State to LSU after an incredible freshman season. He slashed .355/.419/.704 throughout his college career with 75 homers in three seasons, and signed for $3 million as the A's second rounder in 2024, getting 25 professional games under his belt after the draft. 
White's calling card is his power. His operation in the batter’s box is very rhythmic and uses a hand hitch trigger and toe tap timing mechanism. His hands aren't exceptionally quick on their own, but White's ability to rotate explosively through his hips, combined with the loft in his bat path, produces above-average power. Chase issues make his overall profile risky. White got better in this regard as a junior (38% chase in 2023, 32% in 2024), but then backpedaled after the draft in a 119-PA pro sample (39%). White’s pitch selection ultimately limits his hit tool's ceiling; he's going to be a low-OBP player, and he'll need to get to his raw power during game action to cover up for this shortcoming. Jake Burger and Maikel Franco are similar players, though White plays better defense than either of those guys.  
A surprisingly mobile, low-to-the-ground defender for his size, White's ability to control his body well on the run puts him in a good fielding position, which allows him to cover up for below-average hands. White will have to stay as lithe and quick as possible, which can be challenging for athletes built like he is, but he has a better shot to stay at the hot corner than you'd guess when he gets off the bus. The warts on White’s offensive profile are real, but he'll bring enough value to the table with his power and ability to stay at third that he likely ends up as a regular on a lesser club, or more of a 1B/3B part-timer for a championship-caliber team."
Joel Hurtado,SIRP,LAA,2026,,40+,Med,24.1,,,,,"Hurtado pitched in a piggyback role in 2023 and then as a starter for all of 2024, when he worked 138.2 innings at High-A Tri-City. He is still very unpolished, both from a strike-throwing standpoint and as far as repertoire depth is concerned. A full 87% of Hurtado's pitches were either fastballs or sliders again in 2024, so unless you count his two different fastballs as independent offerings (they do have well demarcated movement profiles), he's a two-pitch guy with well-below-average control. For this reason, Hurtado is projected as a reliever here at FanGraphs, but don't let that discourage you from being excited about his prospects. Hurtado held mid-90s velocity across a huge innings uptick in 2024, and his slider generated a 44% miss rate, per Synergy. Because he throws so many of them nowhere near the zone, his 84-88 mph gyro slider only plays like a plus pitch when opponents decide to swing at it. He needs to improve his command, but if he does, his slider will be a plus offering, maybe even better than that. 
A move to the bullpen might enable Hurtado to sustain the upper-90s velocity he shows at peak. He looks an awful lot like Cubs reliever Daniel Palencia in terms of his build, arm stroke, arm slot, and maybe even his peak velocity if Hurtado shifts into the bullpen. He's on a December 2025 40-man/Rule 5 Draft timeline, so look for him to maybe shift into relief sometime this coming season so the Angels can see what that looks like and make an informed decision about whether or not to roster him."
Bryce Cunningham,SP,NYY,2027,,40+,High,22.3,,,,,"Cunningham split time between starting and relieving as an underclassman before rooting into Vandy's weekend rotation as a junior. He nearly doubled his career high in innings pitched, but still held 93-95 mph fastball velocity all season. Cunningham's career ERA was a shade under 5.00, but his stuff was good enough for him to rank 47th on my Draft Board. The Yankees popped him in the second round and Cunningham didn't pitch after the draft. 
At a strapping 6-foot-5, Cunningham is an athletic mover who strides somewhat open as he pedals home. He throws from a three-quarters arm slot with a 1:00 fastball spin axis, and he might benefit from supination on release to create more carry on his fastball. A short, blunt, below-average mid-80s slider was his most used secondary in 2024, but a high-spin, mid-80s changeup is Cunningham's best pitch. His strike-throwing was a little less consistent late in the college season, but that was to be expected considering his workload. Cuningham needs breaking ball augmentation, but he has realistic no. 4 starter upside if the Yankees can help with that."
Alex McFarlane,SIRP,PHI,2026,,40+,High,23.8,,,,,"I considered McFarlane to be a pure relief prospect when he was at Miami, but the Phillies decided to try to develop him as a starter, and for the first two months of 2023, it looked as though they really had something. He punched out 50 hitters in his first 37 innings and worked efficiently enough to pitch into the fifth and sixth inning during several starts, a rarity for him at Miami. About halfway through the season however, the Phillies began to drastically limit the length of McFarlane's outings, his stuff waned, and he was ultimately shut down at the end of August 2023. He had Tommy John that September, which put him out for all of 2024.
Healthy 2025 McFarlane could enjoy a Kerkering-like rise through the minors, especially if the Phillies decide to 'pen him. When he was totally healthy early in 2023, McFarlane was sitting 98-100 mph, then backed into the 94-97 range closer to when he was shut down. His monster arm strength helps make up for his fastball's tailing shape, created by his nearly side-arm delivery. His gyro slider induced a plus-plus 21% swinging strike rate against A-ball hitters (an important caveat) in 2023, and McFarlane also has a rare changeup that he threw fewer than 50 times before he was shut down. 
There were good reasons for the Phillies to try to develop McFarlane as a starter. Miami doesn't seem to max out their pitchers on campus, and McFarlane's fastball featured better sink in pro ball. He also has a great pitcher's frame and is a fabulous on-mound athlete. But now that he's about to enter his 40-man evaluation season with so few innings under his belt, it's much more likely McFarlane is moved quickly as a potential late-inning weapon, assuming his stuff comes back after his rehab."
Juan Nunez,SP,SDP,2025,,40+,Med,24.3,,,,,"Nuñez came to the O’s in the 2022 trade that sent Jorge López to Minnesota. He made his full-season debut in 2023, throwing just over 100 innings, and Nuñez was off to a great start in 2024 when he was shut down for the season in May with a shoulder injury. He was sitting 92-95 and touched 97 before he got hurt, and he has rare fastball spin, averaging around 2,500 rpm. Still, it’s an average fastball that played down due to Nuñez’s lack of command. Nuñez’s secondary stuff is awesome. His best sliders have sharp, two-plane shape with late break, and they’re nasty enough to freeze hitters or get them to chase. Because of his fastball’s in-zone vulnerability, Nuñez often uses his breaking ball as a way to get ahead of hitters. His least used pitch is a firm changeup at 85-88 mph that will flash unhittable, late diving action. It’s thrown with the same arm speed and falls off the table when Nuñez releases it right. Too often, he’ll throw changeups that are easily identifiable as balls out of hand. The pitch mix to start is here, and despite being listed at 5-foot-11, Nuñez has a very sturdy, muscular build and a gorgeous arm action that quell one’s concerns about him needing to work in relief due to a lack of size. Nuñez has pitched just 20 games above Low-A and will probably need to work in an inefficient relief role to stick on San Diego’s roster in 2024."
Tyler Callihan,2B,CIN,2025,,35+,Med,24.8,40,40,45,50,"Callihan is a power-hitting 2B/LF who ran a sub-70% contact rate in 2024. He has average power and his swing is geared to get to it in games. It's enough to consider him an above-replacement player, but it's tough to give Callihan an on-roster grade with only one average tool in his kit."
Brailer Guerrero,RF,TBR,2029,,45+,High,18.8,40,45,55,40,"One of the top handful of 2023 international amateur prospects, Guerrero signed for $3.7 million and had his pro debut season cut short by a torn labrum. Promoted to the Florida complex in 2024, he was having a good year despite strikeout rates around 25%, when shoulder issues cropped up again and he was shut down. He has now played just 35 pro games. 
Guerrero has a powerful, picturesque swing that produces all-fields pop. It's a tad long, but Guerrero easily has the strength to hit for power the other way even when he's late into the hitting zone. This is a very physical 18-year-old — if he showed up for your favorite college's spring football scrimmage, he'd be sent to work out with the defensive ends. He's playing center field right now but probably isn't a long-term fit there, as he's running in the 4.3s already and will probably keep filling out as he matures. The early-career strikeout rates and some visual cues from Brailer's swing (its length makes it tough for him to elevate consistently) create enough risk to have slid Guerrero down into the FV tier typically associated with corner platoon bats (he's also playing a fair bit of right field). That feels like the middle of his potential outcomes, a power-over-hit corner profile that plays against righties in a big way. That doesn't mean Guerrero lacks everyday upside — it's plausible last year's missed reps are the root cause of his current strikeout issues and that he'll remedy them with time."
Ryan Waldschmidt,LF,ARI,2027,,45,Med,22.5,40,40,55,60,"Waldschmidt spent his first college season at Charleston Southern playing a mix of third base and outfield, then transferred to Kentucky for his sophomore and junior years and moved full-time to left field, where he remains a speedy work-in-progress. Like a lot of college hitters, he enjoyed a huge uptick in power output in 2024, clubbing 14 homers and doubling his career total in the process. Waldschmidt had an OPS north of 1.000 and performed well in several key statistical categories at Kentucky, including plate discipline, contact, and measurable power. He had one of the more well-rounded statistical cases of any college hitter in the 2024 draft. 
Visual evaluation of Waldschmidt's hit tool comes in south of his data. His swing is hellacious but atypical. He takes a really healthy hack but does so with basically no stride. Waldschmidt's swing is all hands and torso, and requires a ton of effort, so much that his head kicks around and he often loses sight of the baseball as his body ignites. His hardest swings are truly over in the blink of an eye, like a cobra strike — this guy has big time bat speed and power that plays best (by far) against pitches down-and-in. If he can sustain this approach all the way up the minors, we're talking about a LF/DH who's in the lineup every day. The left field-only profile puts Waldschmidt on thin ice if he can't, in which case, we'd be looking at a Clint Frazier type outcome."
Austin Charles,3B,KCR,2028,,45,High,21.4,35,40,55,55,"Charles was the Royals' last pick in 2022 and signed at the 11th hour after visiting the team's facility. He's a physical outlier at a yoked 6-foot-5, and he is an absurdly coordinated defensive player for someone his size. His swing is a little awkward looking, but Charles was still able to post an above-average wRC+ at Low-A in 2024 at age 20. He's so geared to pull that he swings inside a ton of sliders. If he can quell this tendency, he'll click enough to merit upside-driven Top 100 inclusion a year from now."
Lucas Braun,SP,ATL,2027,,45,Low,23.6,,,,,"Braun didn't pitch very much as an underclassman at San Diego, and it took transferring to Northridge for him to find a real role. He signed for just shy of $350,000 as a 2023 sixth rounder, and in 2024, his second season stretched out as a starter, he worked 143.2 innings and spent the second half at Double-A Mississippi. Braun's delivery is like a Dana Carvey impression of Ryan Walker's delivery. He starts on the extreme third base side of the rubber and uses a cross-bodied stride; it isn't identical to Walker's, but it's in the neighborhood. Braun's sweeper is plus and his release point makes it a nightmare for righties to deal with. It also gives the pitch so much space to break horizontally that it plays nicely as a backfoot weapon against lefties. The rest of Braun's repertoire is a little south of average, but he's a good athlete who hasn't been starting for very long, and his changeup should get better as he continues to use it. Braun's ability to locate all of his pitches is remarkable for someone without much starting experience. If his changeup can take a leap, then Braun has a sneaky shot to be on the Top 100 list 12 months from now. For now, he's another surface-scratching pitcher who the Braves have improved enough to forecast as a stable no. 4/5 starter."
Jaden Hamm,SP,DET,2027,,45,Med,22.6,,,,,"Hamm had an incredible first pro season for a small school starter, as he carved up the Midwest League to the tune of a 2.64 ERA. He struck out 122  and posted a 1.05 WHIP in 99 innings, though he tended to work only about four frames per start. It was a gentle increase from the 91.2 innings he threw the season before combined between Middle Tennessee and his post-draft pro spurt. 
Hamm throws strikes with four different pitches but arguably still has some relief risk due to the nature of his delivery, which features a ton of trunk tilt, an atypical look for a workhorse starter. He shares bodily and mechanical characteristics with former Twins prospect, and current Tiger, Jordan Balazovic. The aspect of Hamm's game that stands out immediately is the vertical movement on his fastball. This is a 20-inch induced vertical break guy, though when you adjust for Hamm's release height (higher releases generate more IVB, and Hamm's is six-and-a-half feet) he's not generating elite ride, but he is deceptive and creates really tough angle on this pitch. More impactful is the way Hamm's release allows his curveball to tunnel with his heater. The two are almost indistinguishable from one another on most of their flight paths, before Hamm's low-80s curve suddenly descends into the zone or beneath it. Hamm's curveball generated a 43% miss rate in 2024, one of the better whiff-inducing curveballs in the minors last year. Off of that he'll show you a changeup and a slider/cutter with distinct lateral shape; both of these pitches live in the mid-80s and are about average. 
Though Hamm's stuff probably won't overwhelm big league hitters, he throws strikes, he has a deep repertoire, he's deceptive, and he has now sustained success across about 100 innings for two years in a row. He has more of a multi-inning relief look mechanically, but in all other ways, he's tracking like a stable no. 4/5 starter. "
Jack Neely,SIRP,CHC,2025,,40+,Med,24.8,,,,,"Neely, who came to the Cubs in the Mark Leiter Jr. trade at the 2024 deadline, is a gigantic guy who hopped around to a several schools (Texas, San Jacinto, Iowa Western, Ohio State) before pro ball. He has been developed solely as a reliever and posted double digit strikeouts per 9 IP up the entire minor league ladder, culminating in a 2024 big league debut with the Cubs after the trade. 
Neely is a standard middle relief prospect. He sits 94-98 mph with plus vertical break and nearly perfect backspinning shape even though he releases from more of a three-quarters slot. He also has an 84-88 mph bullet-style slider that generated elite swing-and-miss in the minors last year. If he can ever learn to locate it more consistently, he'll play a higher leverage role."
Reggie Crawford,SIRP,SFG,2027,,40+,Med,24.3,,,,,"A two-way college player, Crawford's draft status peaked during his pre-draft summer, when he was sitting 100 with Team USA and flashing big power on Cape Cod. He got hurt and had Tommy John that fall and missed his entire junior year, but his upside still demanded an early pick and the Giants popped him 30th overall. Crawford was developed as a two-way player through 2023, but he totaled just 19 innings that year and struck out too much for the experiment to continue. In 2024, Crawford was immediately moved into the bullpen, and it felt as though a singular focus on pitching, combined with clearance to air it out, might allow him to reach the bigs fast. For a while, it looked like that was happening. While wild (15.8% BB%), Crawford was overwhelming Double- and Triple-A hitters (38.5% K%) when his velocity suddenly tanked in an outing in early June, and he was shut down. He was sitting 100 on May 26, and 93 on June 5. Crawford had shoulder surgery toward the end of the season, late enough that he'll likely miss most or all of 2025. 
When he's really humming, Crawford looks like a future closer in the José Alvarado mold. He powers sinkers past hitters all over the zone and flashes a ridiculous mid-80s slider. Crawford's delivery is pretty violent, he's a tightly wound, bulky sort of athlete, and he doesn't repeat his release consistently. Even though he has a viable third pitch (his changeup is fine), he was always likely to be a reliever because of these issues. Now he's had two major injuries and surgeries in a span of about two and a half years. It creates volatility and delay that alters the way Crawford is ""valued"" as a prospect even though his <em>evaluation</em> hasn't changed. Hopefully he returns with his pre-injury stuff. If he does, we could see him in San Francisco sometime in 2026."
Kade Morris,MIRP,ATH,2026,,40+,Low,22.8,,,,,"Morris posted a 5.42 ERA in his draft year but was still a shrewd pickup by the Mets because of his relative youth and projectability for a college prospect, as well as his repertoire depth. In 2024, he reached High-A and then was acquired by the A’s in the deadline deal that sent Paul Blackburn to New York. Morris' walk rates to this point feel a bit faulty. He lacks a consistent release point and was walk-prone at Triple-A toward the very end of the season, and this (plus Morris' skinny build) is driving his long relief projection here. But we think Morris will be a premium version of this archetype. He utilizes both a four-seamer and a sinker (his groundball rate spiked after the A's acquired him), with a tendency to throw the four-seamer from a noticeably higher slot than his sinker. Morris' sinker will show above-average movement, his four-seamer has uphill angle that will allow to it play as a finisher if he improves his command of it to the proper location, and his velo was surging at the very end of the year, when he was sitting 94-95 at Las Vegas. His slider is a two-plane breaker, while the curveball is often 20 mph slower than his fastballs and will flash deep 11-to-5 action. He also brings a changeup to the table that sits in 85-88 mph velo range and features both fade and sinking action; it plays especially well off of his sinker. This is a good pitching prospect even if we're not totally convinced Morris is a starter. He's tracking to debut at some point in mid-to-late 2025."
Chris Cortez,SIRP,LAA,2025,,40+,Med,22.5,,,,,"Cortez began 2024 in Texas A&M's rotation, but he quickly shifted into a relief role and thrived. He was incredible during the college postseason and mowed through several SEC lineups in a high-leverage long relief role, likely bolstering his draft stock late in the process. Cortez is a medium-framed guy with below-average athletic projection. He uses a short-striding, cross-bodied delivery with a low three-quarters slot, which causes his fastball to move and play like that of Justin Martinez of the Diamondbacks. Cortez can pump upper-90s gas with heavy sink across multiple innings. His upper-80s slider has curveball shape when he lands it in the zone, and more sweeper-style movement when it's on the glove-side part of the plate. He threw a handful of changeups in 2024, but he's mostly just a two-pitch guy — perhaps like Martinez, he is a candidate to add a splitter in pro ball. Cortez projects as a quick-moving, impact reliever who'd be the third-best bullpen arm on a good team."
